trade_date,loss000001.SZ,loss600000.SH,loss600015.SH,loss600016.SH,loss600036.SH,loss601166.SH,loss601288.SH,loss601328.SH,loss601398.SH,loss601818.SH,loss601939.SH,loss601988.SH,loss601998.SH
2016-01-04,-5.661889399950759,-2.6061913091875777,-6.026430782463299,-6.536874119356018,-4.026628458653203,-3.821360475717217,-3.4649135413173937,-5.916993504485535,-2.879490194794476,-4.338029563022516,-3.1637084943182625,-3.5536734276787385,-6.583206284986209
2016-01-05,0.6159280360534591,0.8948605576013957,0.5235614053944904,0.9917436657346013,-0.2897712836071431,1.390170468951979,1.273902577742958,1.4718172474021518,0.4484312447328609,0.4914014802429145,-0.35778213478838694,-0.25873235649509496,0.0
2016-01-06,1.1338978880517825,0.7764875397726634,0.17391308731271593,0.32840752011900065,0.4632318648279732,0.5387621532378706,0.6309169193264852,0.8084118399958928,0.8908744889109643,1.218041855687102,1.0695289116747775,0.774197415361555,1.176484157958635
2016-01-07,-5.252653728713241,-3.3139791974019506,-7.017266609118433,-6.199167602796818,-3.7673672425415194,-2.53943512887016,-2.225847060094277,-4.445176257083383,-1.7897569457542728,-4.203338170655213,-2.695580998852809,-2.6043138536020027,-6.80534632450156
2016-01-08,1.6319491828601151,-0.11428572672502746,0.9276504370292038,1.156082240107592,0.8363250657821286,0.6713482645660296,1.5949301407677918,1.5037877364540542,0.6749181974928353,1.7522350692202426,0.9066245237753012,0.2635047638005039,2.167267489889624
2016-01-11,-3.2909734088797826,-2.547908530098475,-4.630019193261603,-2.7973852042405767,-4.688834498215577,-3.9707449595113076,-2.240093668916665,-3.8889093186720514,-3.1893363775953754,-4.309919248185223,-4.428768020111629,-4.027389913793988,-0.4604766386748338
2016-01-12,0.4636076917478249,2.3189444918910507,0.0,0.11813350458309557,-0.37476621002396904,-0.06331117653703977,1.286191364240774,0.1722653311446054,0.0,0.5167970158442614,-0.5676458004805207,-0.5494519317640778,0.30721990369702024
2016-01-13,-0.9293747191459367,-0.3444320282244284,-2.645916234981227,-0.23640672948808117,-0.6907405799811084,-0.5716115913288355,-0.320000273067067,-1.038071605456059,-0.46403795565022055,-1.2970350442627288,-1.3371736965889225,-1.3869847864150353,-3.909802129373219
2016-01-14,0.5586606708639863,3.002207918059252,0.7912998757325429,0.4722558954173728,0.12594460103070304,-0.12746974320005933,0.0,0.1737619898540821,0.2322881416139566,0.0,0.19212301778939178,0.27894020875784964,0.7942853513936754
2016-01-15,-2.920603253152043,-1.9155515289753566,-3.2034771328721234,-0.23584916592929162,-2.614111238704364,-1.6072348547192306,-1.6155440222285433,-3.5339366445308995,-1.8735911057469634,-3.4531983542375855,-2.330202520284419,-3.1119908713804545,-4.697219741967196
2016-01-18,-0.4791576009899323,0.5672164952466474,1.2133617011426345,0.23584916592929162,-0.38835000263977015,-0.8460837976679514,0.0,-0.7220247973487082,-0.9501259124140127,-0.8141157583700043,-0.9871748479154174,-0.5763704716750029,0.0
2016-01-19,2.841100183277989,0.5077584957062786,1.990115431729489,0.8211189830394705,1.8632084132346627,1.2987195526811046,1.2945164592037095,1.973158186259516,1.421824900227886,1.8893949359961804,2.15906325923676,2.0029281875572513,2.6188075957410684
2016-01-20,-1.600034134644135,-2.9699498689191195,-1.990115431729489,0.23337233462203955,-1.216793751245726,-2.3499775915897914,0.0,-1.4311514393255953,-0.7083854888404906,-1.345915337400494,-1.1718884113213424,-1.7143276986437472,-1.7930390718429168
2016-01-21,-2.1093783059799254,-3.9614993770220153,-1.3151428804127008,-1.4084739881738972,-1.4276686356682777,-1.1960275462971737,-0.6451635281488732,-1.2692826798418766,-0.9523881511255494,-0.2713705871596028,-1.1857846450783471,-1.159433278091937,0.9820046180975428
2016-01-22,0.7722046093910251,2.619197343807933,1.1139355690706676,0.4716989878138733,-0.13080446600155504,0.40026737896572406,0.6451635281488732,0.7272759329079559,0.9523881511255494,0.8119124438504155,0.3968259175620492,0.5813969865419821,-0.32626456348163746
2016-01-25,-0.28887839058913123,0.05873715293689408,-0.20161297151846114,0.11757790890118969,1.3004084423206663,0.06655574288947363,-0.32206147000422014,0.0,0.23668650102661726,0.0,0.39525743158235205,-0.29027596579613846,-0.9852296443011666
2016-01-26,-4.941716879604563,-2.1965857935900335,-5.283465906593809,-1.7783515488672297,-4.087582887196772,-3.935378920644217,-4.959694113937219,-5.396658221217221,-3.61050046421163,-5.257088700933821,-4.0246880508593375,-5.9898141581068876,-6.475856734816321
2016-01-27,0.10126583143863499,0.11997601919038203,0.7419217922028487,1.7783515488672297,0.9377161812596846,0.2764341774149859,0.0,0.3816798526700804,0.7326040092072938,0.283688133519977,-0.8247469430017196,-0.6191970247921175,-1.4184634991956324
2016-01-28,-1.9418085857101808,-0.6013247223451756,-2.1345527620223237,0.2347418918304811,-1.8843087801479808,-1.6000341346440905,-1.3652089168327164,-0.573067470898514,-1.4706147389695445,-2.0029281875572513,-1.670184961793142,-1.8809331957496234,-2.8987536873252173
2016-01-29,3.149066709137127,1.9116472221878844,2.7661338088347254,0.7009374492576548,1.8176198813776079,1.3927801744468837,2.7120306219193813,2.4599159013367844,1.227009259181422,3.129700672191471,1.2552466071119817,1.8809331957496234,2.0018866890491704
2016-02-01,-2.0202707317519497,-2.3953241022492744,-2.3355626377135064,-1.0532572499893256,-1.8176198813776079,-1.1126679464757316,-1.686380605200477,-2.8437935320533514,-1.7220597751670397,-2.553330200516468,-2.3134575401656754,-1.5649771667127776,-1.6349138001529484
