index,CL,DC,DX,GY,GYSY,JR,KX,NY,RC,XX,YL
2014/3/3,7.73E-10,9.21E-10,8.67E-11,6.14E-10,5.03E-10,7.00E-11,5.65E-10,1.72E-10,4.46E-10,4.53E-10,4.60E-10
2014/3/4,7.56E-10,7.77E-10,8.84E-11,6.27E-10,4.94E-10,7.86E-11,5.27E-10,1.74E-10,4.26E-10,4.25E-10,4.39E-10
2014/3/5,7.57E-10,8.39E-10,9.22E-11,5.75E-10,5.11E-10,9.87E-11,4.72E-10,2.07E-10,3.97E-10,4.67E-10,4.48E-10
2014/3/6,8.24E-10,8.83E-10,9.67E-11,6.53E-10,5.91E-10,1.12E-10,5.28E-10,2.16E-10,4.32E-10,5.04E-10,4.52E-10
2014/3/7,7.57E-10,8.05E-10,1.01E-10,6.06E-10,5.74E-10,1.02E-10,4.98E-10,1.84E-10,4.30E-10,4.58E-10,4.30E-10
2014/3/10,1.15E-09,1.21E-09,1.47E-10,9.11E-10,8.79E-10,1.31E-10,8.09E-10,2.35E-10,6.64E-10,6.58E-10,5.78E-10
2014/3/11,9.36E-10,1.01E-09,1.05E-10,7.36E-10,7.29E-10,8.26E-11,6.94E-10,2.56E-10,5.18E-10,5.89E-10,5.63E-10
2014/3/12,9.79E-10,9.72E-10,1.26E-10,8.45E-10,8.41E-10,1.02E-10,7.80E-10,2.58E-10,5.65E-10,6.63E-10,6.00E-10
2014/3/13,7.92E-10,6.84E-10,8.88E-11,7.15E-10,6.08E-10,1.24E-10,6.02E-10,2.04E-10,4.76E-10,5.33E-10,5.02E-10
2014/3/14,9.11E-10,9.07E-10,8.95E-11,7.59E-10,7.18E-10,1.10E-10,7.14E-10,2.43E-10,5.01E-10,5.74E-10,5.43E-10
2014/3/17,8.02E-10,7.47E-10,8.63E-11,0,0,1.13E-10,6.01E-10,2.41E-10,4.77E-10,5.23E-10,5.09E-10
2014/3/18,6.23E-10,8.06E-10,7.12E-11,5.34E-10,5.40E-10,1.00E-10,4.68E-10,2.03E-10,3.65E-10,3.77E-10,3.54E-10
2014/3/19,7.02E-10,9.42E-10,7.98E-11,6.37E-10,0,1.19E-10,5.97E-10,1.96E-10,4.39E-10,4.48E-10,4.53E-10
2014/3/20,8.64E-10,8.19E-10,9.38E-11,7.80E-10,6.97E-10,1.25E-10,8.13E-10,2.28E-10,5.33E-10,6.05E-10,5.48E-10
2014/3/21,9.47E-10,7.07E-10,1.34E-10,8.00E-10,0,1.09E-10,7.70E-10,1.93E-10,5.95E-10,6.95E-10,5.68E-10
2014/3/24,5.71E-10,4.70E-10,7.15E-11,0,3.97E-10,7.58E-11,4.73E-10,1.37E-10,3.75E-10,4.66E-10,4.34E-10
2014/3/25,5.91E-10,4.71E-10,6.74E-11,5.15E-10,4.47E-10,8.28E-11,4.81E-10,1.49E-10,3.86E-10,4.94E-10,4.76E-10
2014/3/26,6.24E-10,5.15E-10,9.75E-11,5.31E-10,4.55E-10,8.49E-11,4.92E-10,1.82E-10,4.10E-10,4.64E-10,4.49E-10
2014/3/27,7.11E-10,4.82E-10,1.01E-10,6.07E-10,5.19E-10,1.07E-10,5.61E-10,1.79E-10,4.61E-10,5.59E-10,5.18E-10
2014/3/28,7.64E-10,7.78E-10,1.13E-10,6.89E-10,5.93E-10,8.42E-11,6.55E-10,1.80E-10,6.17E-10,7.94E-10,6.28E-10
2014/3/31,9.50E-10,8.22E-10,1.62E-10,8.35E-10,6.94E-10,9.62E-11,7.94E-10,2.26E-10,6.54E-10,7.03E-10,0
2014/4/1,9.09E-10,6.35E-10,1.02E-10,0,5.65E-10,9.71E-11,7.08E-10,1.90E-10,5.54E-10,6.84E-10,6.03E-10
2014/4/2,7.28E-10,4.48E-10,1.07E-10,6.43E-10,4.49E-10,7.69E-11,5.88E-10,1.45E-10,4.79E-10,5.76E-10,5.73E-10
2014/4/3,7.20E-10,5.27E-10,9.74E-11,6.99E-10,5.38E-10,8.49E-11,6.21E-10,1.86E-10,4.78E-10,5.29E-10,6.39E-10
2014/4/4,7.62E-10,5.23E-10,8.00E-11,7.66E-10,5.85E-10,1.20E-10,6.06E-10,1.85E-10,5.13E-10,6.03E-10,0
2014/4/8,6.57E-10,4.43E-10,7.50E-11,5.74E-10,4.11E-10,8.68E-11,5.20E-10,1.48E-10,4.21E-10,7.44E-10,4.73E-10
2014/4/9,4.81E-10,5.74E-10,5.73E-11,4.49E-10,3.30E-10,6.50E-11,0,1.06E-10,3.47E-10,5.81E-10,0
2014/4/10,4.35E-10,3.48E-10,6.75E-11,3.99E-10,3.28E-10,7.60E-11,3.85E-10,1.11E-10,3.26E-10,3.83E-10,3.18E-10
2014/4/11,5.35E-10,0,5.68E-11,4.79E-10,3.65E-10,5.97E-11,4.59E-10,1.75E-10,3.76E-10,4.78E-10,4.06E-10
2014/4/14,5.78E-10,4.56E-10,6.74E-11,4.90E-10,3.93E-10,9.25E-11,4.56E-10,1.82E-10,3.81E-10,4.54E-10,4.10E-10
2014/4/15,6.04E-10,4.79E-10,7.96E-11,5.26E-10,4.83E-10,1.26E-10,4.79E-10,1.89E-10,3.74E-10,4.10E-10,4.07E-10
2014/4/16,6.22E-10,4.77E-10,8.45E-11,5.32E-10,4.68E-10,1.22E-10,4.57E-10,1.58E-10,4.18E-10,4.62E-10,4.51E-10
2014/4/17,6.07E-10,4.86E-10,9.63E-11,5.16E-10,4.85E-10,1.09E-10,4.47E-10,1.54E-10,3.93E-10,4.15E-10,4.63E-10
2014/4/18,6.42E-10,5.29E-10,8.73E-11,5.37E-10,4.96E-10,1.24E-10,5.45E-10,1.97E-10,4.44E-10,4.36E-10,4.70E-10
2014/4/21,0,6.59E-10,1.09E-10,0,5.95E-10,1.56E-10,6.42E-10,2.32E-10,5.07E-10,4.97E-10,5.27E-10
2014/4/22,7.61E-10,6.30E-10,1.84E-10,7.14E-10,5.57E-10,1.34E-10,6.57E-10,1.92E-10,5.43E-10,5.97E-10,6.31E-10
2014/4/23,8.09E-10,6.55E-10,1.14E-10,7.02E-10,7.60E-10,1.05E-10,6.40E-10,1.90E-10,5.17E-10,5.63E-10,5.84E-10
2014/4/24,7.97E-10,7.12E-10,1.07E-10,7.39E-10,6.43E-10,1.17E-10,6.42E-10,1.96E-10,5.54E-10,6.00E-10,6.19E-10
2014/4/25,9.69E-10,7.69E-10,1.34E-10,8.71E-10,7.33E-10,9.42E-11,7.80E-10,2.65E-10,6.44E-10,7.15E-10,6.09E-10
2014/4/28,1.20E-09,9.05E-10,1.01E-10,1.03E-09,8.83E-10,9.89E-11,9.19E-10,2.70E-10,7.59E-10,9.31E-10,7.88E-10
2014/4/29,1.13E-09,8.70E-10,1.34E-10,9.78E-10,8.02E-10,9.96E-11,8.31E-10,2.36E-10,6.96E-10,9.20E-10,6.94E-10
2014/4/30,1.04E-09,8.06E-10,6.29E-11,0,7.52E-10,1.04E-10,7.37E-10,2.14E-10,6.33E-10,0,6.84E-10
2014/5/5,1.01E-09,8.24E-10,8.43E-11,8.72E-10,8.00E-10,1.16E-10,7.36E-10,2.53E-10,6.77E-10,7.59E-10,6.10E-10
2014/5/6,7.70E-10,6.62E-10,7.71E-11,6.70E-10,6.38E-10,1.04E-10,5.99E-10,1.68E-10,5.19E-10,5.32E-10,5.23E-10
2014/5/7,9.88E-10,8.96E-10,9.20E-11,8.88E-10,0,8.45E-11,8.00E-10,2.09E-10,6.85E-10,7.15E-10,6.65E-10
2014/5/8,1.07E-09,9.20E-10,8.20E-11,9.06E-10,8.15E-10,1.18E-10,8.33E-10,2.65E-10,6.85E-10,7.28E-10,6.74E-10
2014/5/9,0,9.24E-10,9.17E-11,9.33E-10,7.82E-10,1.04E-10,9.14E-10,1.84E-10,7.46E-10,8.28E-10,7.19E-10
2014/5/12,7.70E-10,7.24E-10,9.50E-11,7.36E-10,6.49E-10,8.85E-11,0,1.67E-10,5.71E-10,6.63E-10,6.45E-10
2014/5/13,6.97E-10,6.27E-10,7.41E-11,6.36E-10,5.56E-10,8.86E-11,5.94E-10,1.46E-10,4.70E-10,5.70E-10,6.08E-10
2014/5/14,0,6.56E-10,8.96E-11,6.82E-10,6.38E-10,1.04E-10,6.63E-10,1.62E-10,5.23E-10,6.11E-10,6.37E-10
2014/5/15,1.09E-09,9.42E-10,1.12E-10,9.35E-10,8.51E-10,9.86E-11,8.54E-10,2.20E-10,7.39E-10,7.88E-10,7.16E-10
2014/5/16,1.04E-09,9.97E-10,1.05E-10,8.97E-10,7.28E-10,1.10E-10,8.90E-10,1.85E-10,7.20E-10,8.09E-10,7.57E-10
2014/5/19,1.10E-09,0,1.11E-10,1.06E-09,8.84E-10,1.11E-10,1.09E-09,2.59E-10,7.65E-10,8.70E-10,7.97E-10
2014/5/20,1.03E-09,0,8.61E-11,9.25E-10,7.84E-10,9.69E-11,9.09E-10,2.09E-10,6.65E-10,7.26E-10,7.34E-10
