"T","."
"2014-10-13","4.223943e-10"
"2014-10-14","2.655116e-10"
"2014-10-15","5.726922e-10"
"2014-10-16","2.616928e-10"
"2014-10-17","2.960082e-10"
"2014-10-20","2.436188e-10"
"2014-10-21","2.598699e-10"
"2014-10-22","4.562835e-10"
"2014-10-23","4.692590e-10"
"2014-10-24","3.583684e-10"
"2014-10-27","4.060813e-10"
"2014-10-28","2.512449e-10"
"2014-10-29","1.772973e-10"
"2014-10-30","2.080757e-10"
"2014-10-31","2.225324e-10"
"2014-11-03","1.891803e-10"
"2014-11-04","2.128117e-10"
"2014-11-05","2.302284e-10"
"2014-11-06","2.243726e-10"
"2014-11-07","2.254224e-10"
"2014-11-10","2.234206e-10"
"2014-11-11","2.722933e-10"
"2014-11-12","0.000000e+00"
"2014-11-13","2.335849e-10"
"2014-11-14","2.686088e-10"
"2014-11-17","3.750359e-10"
"2014-11-18","2.453643e-10"
"2014-11-19","2.269147e-10"
"2014-11-20","2.420400e-10"
"2014-11-21","1.962176e-10"
"2014-11-24","1.523270e-10"
"2014-11-25","1.540330e-10"
"2014-11-26","1.540131e-10"
"2014-11-27","1.414155e-10"
"2014-11-28","1.901314e-10"
"2014-12-01","1.672213e-10"
"2014-12-02","1.585256e-10"
"2014-12-03","1.747870e-10"
"2014-12-04","1.079717e-10"
"2014-12-05","2.103750e-10"
"2014-12-08","1.773390e-10"
"2014-12-09","0.000000e+00"
"2014-12-10","2.511035e-10"
"2014-12-11","1.893855e-10"
"2014-12-12","1.774818e-10"
"2014-12-15","1.945849e-10"
"2014-12-16","0.000000e+00"
"2014-12-17","2.062866e-10"
"2014-12-18","1.954654e-10"
"2014-12-19","2.401669e-10"
"2014-12-22","3.109703e-10"
"2014-12-23","2.901126e-10"
"2014-12-24","2.529003e-10"
"2014-12-25","2.191802e-10"
"2014-12-26","1.956058e-10"
"2014-12-29","2.723827e-10"
"2014-12-30","2.655218e-10"
"2014-12-31","2.612265e-10"
"2015-01-05","2.222515e-10"
"2015-01-06","1.999190e-10"
"2015-01-07","1.985825e-10"
"2015-01-08","1.913644e-10"
"2015-01-09","2.011299e-10"
"2015-01-12","2.939054e-10"
"2015-01-13","2.689516e-10"
"2015-01-14","2.920934e-10"
"2015-01-15","2.325828e-10"
"2015-01-16","1.875304e-10"
"2015-01-19","3.599828e-10"
"2015-01-20","2.386925e-10"
"2015-01-21","1.725327e-10"
"2015-01-22","1.516518e-10"
"2015-01-23","2.430938e-10"
"2015-01-26","2.497070e-10"
"2015-01-27","1.646356e-10"
"2015-01-28","1.679093e-10"
"2015-01-29","2.237342e-10"
"2015-01-30","2.260361e-10"
"2015-02-02","2.621882e-10"
"2015-02-03","2.124780e-10"
"2015-02-04","1.998163e-10"
"2015-02-05","2.447680e-10"
"2015-02-06","3.081512e-10"
"2015-02-09","2.990809e-10"
"2015-02-10","2.692756e-10"
"2015-02-11","2.458829e-10"
"2015-02-12","2.232389e-10"
"2015-02-13","1.628138e-10"
"2015-02-16","1.644378e-10"
"2015-02-17","1.629251e-10"
"2015-02-25","2.059540e-10"
"2015-02-26","1.754731e-10"
"2015-02-27","1.374724e-10"
"2015-03-02","1.389464e-10"
"2015-03-03","1.404459e-10"
"2015-03-04","1.630482e-10"
"2015-03-05","1.892783e-10"
"2015-03-06","2.049353e-10"
"2015-03-09","2.003976e-10"
"2015-03-10","1.409506e-10"
"2015-03-11","1.530503e-10"
"2015-03-12","1.711914e-10"
"2015-03-13","1.535170e-10"
"2015-03-16","1.372853e-10"
"2015-03-17","1.103756e-10"
"2015-03-18","1.264498e-10"
"2015-03-19","1.126798e-10"
"2015-03-20","1.103410e-10"
"2015-03-23","2.625729e-10"
"2015-03-24","1.805671e-10"
"2015-03-25","1.608905e-10"
"2015-03-26","1.477976e-10"
"2015-03-27","1.213447e-10"
"2015-03-30","1.054842e-10"
"2015-03-31","1.096092e-10"
"2015-04-01","1.040113e-10"
"2015-04-02","1.011656e-10"
"2015-04-03","1.059392e-10"
"2015-04-07","9.422400e-11"
"2015-04-08","1.163990e-10"
"2015-04-09","1.655391e-10"
"2015-04-10","1.278402e-10"
"2015-04-13","1.061044e-10"
"2015-04-14","1.596306e-10"
"2015-04-15","1.807026e-10"
"2015-04-16","1.830748e-10"
"2015-04-17","9.405700e-11"
"2015-04-20","0.000000e+00"
"2015-04-21","3.022848e-10"
"2015-04-22","4.645969e-10"
"2015-04-23","4.872409e-10"
"2015-04-24","2.873233e-10"
"2015-04-27","2.448793e-10"
"2015-04-28","1.635706e-10"
"2015-04-29","1.464820e-10"
"2015-04-30","1.595456e-10"
"2015-05-04","1.259272e-10"
"2015-05-05","1.699061e-10"
"2015-05-06","1.760492e-10"
"2015-05-07","1.854278e-10"
"2015-05-08","1.440339e-10"
"2015-05-11","4.285867e-10"
"2015-05-12","2.009200e-10"
"2015-05-13","2.497720e-10"
"2015-05-14","3.290707e-10"
"2015-05-15","1.636502e-10"
"2015-05-18","1.555445e-10"
"2015-05-19","2.656804e-10"
"2015-05-20","2.281370e-10"
"2015-05-21","1.132849e-10"
"2015-05-22","1.479191e-10"
"2015-05-25","1.388818e-10"
"2015-05-26","1.185358e-10"
"2015-05-27","1.296659e-10"
"2015-05-28","1.534467e-10"
"2015-05-29","1.538568e-10"
"2015-06-01","1.683138e-10"
"2015-06-02","1.732567e-10"
"2015-06-03","1.974109e-10"
"2015-06-04","1.609167e-10"
"2015-06-05","8.268515e-11"
"2015-06-08","8.974684e-11"
"2015-06-09","1.286641e-10"
"2015-06-10","1.486555e-10"
"2015-06-11","3.389558e-10"
"2015-06-12","5.542861e-10"
"2015-06-15","3.366352e-09"
"2015-06-16","1.125779e-09"
"2015-06-17","3.344680e-10"
"2015-06-18","1.412053e-10"
"2015-06-19","2.039044e-10"
"2015-06-23","2.317206e-10"
"2015-06-24","1.089733e-10"
"2015-06-25","1.505877e-10"
"2015-06-26","2.073787e-10"
"2015-06-29","2.213312e-10"
"2015-06-30","2.335164e-10"
"2015-07-01","2.799490e-10"
"2015-07-02","2.166347e-10"
"2015-07-03","2.608216e-10"
"2015-07-06","2.529991e-10"
"2015-07-07","6.876442e-10"
"2015-07-08","1.505235e-09"
"2015-07-09","1.542096e-10"
"2015-07-10","1.802560e-10"
"2015-07-13","6.098296e-10"
"2015-07-14","1.638713e-09"
"2015-07-15","2.743441e-10"
"2015-07-16","2.246050e-10"
"2015-07-17","3.760141e-10"
"2015-07-20","4.209443e-10"
"2015-07-21","4.588194e-10"
"2015-07-22","3.137172e-10"
"2015-07-23","2.682518e-10"
"2015-07-24","1.567466e-10"
"2015-07-27","1.951832e-10"
"2015-07-28","1.891091e-10"
"2015-07-29","2.091490e-10"
"2015-07-30","1.519965e-10"
"2015-07-31","2.332142e-10"
"2015-08-03","2.382789e-10"
"2015-08-04","1.867990e-10"
"2015-08-05","1.373784e-10"
"2015-08-06","2.818365e-10"
"2015-08-07","1.371549e-10"
"2015-08-10","1.661834e-10"
"2015-08-11","1.467387e-10"
"2015-08-12","1.232143e-10"
"2015-08-13","1.628348e-10"
"2015-08-14","8.866950e-11"
"2015-08-17","1.105522e-10"
"2015-08-18","1.822234e-10"
"2015-08-19","2.266422e-10"
"2015-08-20","3.272173e-10"
"2015-08-21","2.251539e-10"
"2015-08-24","4.591338e-10"
"2015-08-25","6.051399e-10"
"2015-08-26","3.197107e-10"
"2015-08-27","2.744100e-10"
"2015-08-28","2.005993e-10"
"2015-08-31","2.405961e-10"
"2015-09-01","3.082443e-10"
"2015-09-02","4.013662e-10"
"2015-09-07","3.138587e-10"
"2015-09-08","7.152173e-10"
"2015-09-09","3.118217e-10"
"2015-09-10","2.959358e-10"
"2015-09-11","2.444741e-10"
"2015-09-14","4.080393e-10"
"2015-09-15","4.095198e-10"
"2015-09-16","5.258548e-10"
"2015-09-17","3.143038e-10"
"2015-09-18","3.836903e-10"
"2015-09-21","3.391916e-10"
"2015-09-22","1.816173e-10"
"2015-09-23","2.409943e-10"
"2015-09-24","1.941713e-10"
"2015-09-25","3.338804e-10"
"2015-09-28","3.335354e-10"
"2015-09-29","2.983751e-10"
"2015-09-30","2.437863e-10"
"2015-10-08","2.747015e-10"
"2015-10-09","3.665153e-10"
"2015-10-12","2.588976e-10"
"2015-10-13","2.292979e-10"
"2015-10-14","1.564349e-10"
"2015-10-15","1.603300e-10"
"2015-10-16","1.290786e-10"
"2015-10-19","1.267858e-10"
"2015-10-20","1.179838e-10"
"2015-10-21","2.801429e-10"
"2015-10-22","1.882590e-10"
"2015-10-23","1.627622e-10"
"2015-10-26","2.449212e-10"
"2015-10-27","3.130965e-10"
"2015-10-28","1.989069e-10"
"2015-10-29","1.523694e-10"
"2015-10-30","1.601652e-10"
"2015-11-02","2.382591e-10"
"2015-11-03","1.664656e-10"
"2015-11-04","1.474814e-10"
"2015-11-05","9.830387e-11"
"2015-11-06","9.393231e-11"
"2015-11-09","1.417260e-10"
"2015-11-10","2.409328e-10"
"2015-11-11","1.550747e-10"
"2015-11-12","1.113412e-10"
"2015-11-13","1.673708e-10"
"2015-11-16","2.212909e-10"
"2015-11-17","1.721416e-10"
"2015-11-18","2.163363e-10"
"2015-11-19","1.804284e-10"
"2015-11-20","1.030656e-10"
"2015-11-23","1.150361e-10"
"2015-11-24","1.386250e-10"
"2015-11-25","1.024525e-10"
"2015-11-26","1.265764e-10"
"2015-11-27","3.475186e-10"
"2015-11-30","2.893170e-10"
"2015-12-01","1.876864e-10"
"2015-12-02","2.242464e-10"
"2015-12-03","1.532689e-10"
"2015-12-04","1.557938e-10"
"2015-12-07","1.496187e-10"
"2015-12-08","2.252124e-10"
"2015-12-09","2.969209e-10"
"2015-12-10","5.168199e-10"
"2015-12-11","3.162288e-10"
"2015-12-14","3.155674e-10"
"2015-12-15","1.662405e-10"
"2015-12-16","1.557870e-10"
"2015-12-17","1.216401e-10"
"2015-12-18","1.247193e-10"
"2015-12-21","1.260704e-10"
"2015-12-22","1.155195e-10"
"2015-12-23","1.239231e-10"
"2015-12-24","1.615544e-10"
"2015-12-25","1.380737e-10"
"2015-12-28","1.732502e-10"
"2015-12-29","1.646410e-10"
"2015-12-30","1.300235e-10"
"2015-12-31","0.000000e+00"
"2016-01-04","5.351889e-10"
"2016-01-05","3.128497e-10"
"2016-01-06","1.947301e-10"
"2016-01-07","1.795322e-09"
"2016-01-08","3.660213e-10"
"2016-01-11","3.869330e-10"
"2016-01-12","3.308678e-10"
"2016-01-13","3.994345e-10"
"2016-01-14","4.902942e-10"
"2016-01-15","4.340953e-10"
"2016-01-18","4.961715e-10"
"2016-01-19","4.319386e-10"
"2016-01-20","4.876294e-10"
"2016-01-21","5.445062e-10"
"2016-01-22","4.142518e-10"
"2016-01-25","2.772739e-10"
"2016-01-26","5.492285e-10"
"2016-01-27","5.156131e-10"
"2016-01-28","5.013615e-10"
"2016-01-29","4.866728e-10"
"2016-02-01","4.296792e-10"
"2016-02-02","3.660693e-10"
"2016-02-03","3.854896e-10"
"2016-02-04","2.704564e-10"
"2016-02-05","3.090872e-10"
"2016-02-15","5.803934e-10"
"2016-02-16","3.328969e-10"
"2016-02-17","2.238784e-10"
"2016-02-18","2.049693e-10"
"2016-02-19","2.244035e-10"
"2016-02-22","1.888124e-10"
"2016-02-23","2.306476e-10"
"2016-02-24","2.983826e-10"
"2016-02-25","4.867306e-10"
"2016-02-26","3.485779e-10"
"2016-02-29","5.287671e-10"
"2016-03-01","3.791549e-10"
"2016-03-02","3.507375e-10"
"2016-03-03","2.149010e-10"
"2016-03-04","3.074771e-10"
"2016-03-07","2.514778e-10"
"2016-03-08","3.766202e-10"
"2016-03-09","3.800212e-10"
"2016-03-10","3.298254e-10"
"2016-03-11","3.830235e-10"
"2016-03-14","2.890840e-10"
"2016-03-15","2.492800e-10"
"2016-03-16","3.122016e-10"
"2016-03-17","2.288548e-10"
"2016-03-18","1.709213e-10"
"2016-03-21","1.372702e-10"
"2016-03-22","1.572750e-10"
"2016-03-23","1.574862e-10"
"2016-03-24","2.019320e-10"
"2016-03-25","0.000000e+00"
"2016-03-28","1.728373e-10"
"2016-03-29","2.503018e-10"
"2016-03-30","2.001647e-10"
"2016-03-31","1.494504e-10"
"2016-04-01","2.161460e-10"
"2016-04-05","1.731206e-10"
"2016-04-06","1.476190e-10"
"2016-04-07","1.831173e-10"
"2016-04-08","2.108880e-10"
"2016-04-11","1.649095e-10"
"2016-04-12","1.957288e-10"
"2016-04-13","1.337798e-10"
"2016-04-14","1.513282e-10"
"2016-04-15","1.546124e-10"
"2016-04-18","2.096379e-10"
"2016-04-19","1.823220e-10"
"2016-04-20","3.205071e-10"
"2016-04-21","2.499237e-10"
"2016-04-22","2.873397e-10"
"2016-04-25","2.807318e-10"
"2016-04-26","2.378203e-10"
"2016-04-27","1.942345e-10"
"2016-04-28","2.680806e-10"
"2016-04-29","2.104332e-10"
"2016-05-03","2.067155e-10"
"2016-05-04","1.392530e-10"
"2016-05-05","1.532739e-10"
"2016-05-06","2.491062e-10"
"2016-05-09","3.943030e-10"
"2016-05-10","3.422745e-10"
"2016-05-11","2.009428e-10"
"2016-05-12","3.070103e-10"
"2016-05-13","2.540241e-10"
"2016-05-16","2.374676e-10"
"2016-05-17","1.985773e-10"
"2016-05-18","3.135854e-10"
"2016-05-19","2.367289e-10"
"2016-05-20","2.906990e-10"
"2016-05-23","1.991295e-10"
"2016-05-24","2.728783e-10"
"2016-05-25","2.502757e-10"
"2016-05-26","4.113189e-10"
"2016-05-27","2.873822e-10"
"2016-05-30","2.956744e-10"
"2016-05-31","2.088238e-10"
"2016-06-01","1.315873e-10"
"2016-06-02","1.482537e-10"
"2016-06-03","1.474591e-10"
"2016-06-06","1.578917e-10"
"2016-06-07","1.628520e-10"
"2016-06-08","1.868741e-10"
"2016-06-13","3.404662e-10"
"2016-06-14","2.510408e-10"
"2016-06-15","2.920582e-10"
"2016-06-16","1.888663e-10"
"2016-06-17","1.964347e-10"
"2016-06-20","2.268155e-10"
"2016-06-21","2.329105e-10"
"2016-06-22","2.262837e-10"
"2016-06-23","2.226987e-10"
"2016-06-24","3.181758e-10"
"2016-06-27","2.491097e-10"
"2016-06-28","1.648547e-10"
"2016-06-29","1.728977e-10"
"2016-06-30","2.385150e-10"
"2016-07-01","1.863294e-10"
"2016-07-04","1.849082e-10"
"2016-07-05","1.303775e-10"
"2016-07-06","1.470521e-10"
"2016-07-07","1.319912e-10"
"2016-07-08","1.499471e-10"
"2016-07-11","1.408538e-10"
"2016-07-12","1.444055e-10"
"2016-07-13","1.175830e-10"
"2016-07-14","1.348275e-10"
"2016-07-15","1.373770e-10"
"2016-07-18","1.652629e-10"
"2016-07-19","1.639730e-10"
"2016-07-20","1.450697e-10"
"2016-07-21","1.343751e-10"
"2016-07-22","1.683633e-10"
"2016-07-25","1.760872e-10"
"2016-07-26","1.545770e-10"
"2016-07-27","2.763948e-10"
"2016-07-28","2.315260e-10"
"2016-07-29","1.984954e-10"
"2016-08-01","3.082117e-10"
"2016-08-02","2.300790e-10"
"2016-08-03","2.079600e-10"
"2016-08-04","2.652945e-10"
"2016-08-05","1.904320e-10"
"2016-08-08","2.338759e-10"
"2016-08-09","1.660313e-10"
"2016-08-10","1.702118e-10"
"2016-08-11","2.176207e-10"
"2016-08-12","2.150733e-10"
"2016-08-15","1.646414e-10"
"2016-08-16","0.000000e+00"
"2016-08-17","1.399297e-10"
"2016-08-18","1.253806e-10"
"2016-08-19","1.427179e-10"
"2016-08-22","1.710070e-10"
"2016-08-23","1.653100e-10"
"2016-08-24","1.707797e-10"
"2016-08-25","1.996299e-10"
"2016-08-26","1.785831e-10"
"2016-08-29","2.029827e-10"
"2016-08-30","1.612139e-10"
"2016-08-31","1.671873e-10"
"2016-09-01","1.685952e-10"
"2016-09-02","1.802346e-10"
"2016-09-05","1.712862e-10"
"2016-09-06","1.793050e-10"
"2016-09-07","1.293981e-10"
"2016-09-08","1.509882e-10"
"2016-09-09","1.594791e-10"
"2016-09-12","2.457458e-10"
"2016-09-13","2.058722e-10"
"2016-09-14","2.379771e-10"
"2016-09-19","2.079122e-10"
"2016-09-20","1.929822e-10"
"2016-09-21","1.825869e-10"
"2016-09-22","1.730958e-10"
"2016-09-23","1.964693e-10"
"2016-09-26","2.669153e-10"
"2016-09-27","2.390107e-10"
"2016-09-28","2.366161e-10"
"2016-09-29","2.102698e-10"
"2016-09-30","2.217310e-10"
"2016-10-10","1.854454e-10"
"2016-10-11","2.453844e-10"
"2016-10-12","2.462682e-10"
"2016-10-13","1.812346e-10"
"2016-10-14","1.987631e-10"
"2016-10-17","2.014163e-10"
"2016-10-18","1.709399e-10"
"2016-10-19","1.615864e-10"
"2016-10-20","1.610228e-10"
"2016-10-21","1.897308e-10"
"2016-10-24","1.530246e-10"
"2016-10-25","1.405494e-10"
"2016-10-26","1.402754e-10"
"2016-10-27","1.457900e-10"
"2016-10-28","1.894334e-10"
"2016-10-31","1.797189e-10"
"2016-11-01","1.431835e-10"
"2016-11-02","1.490635e-10"
"2016-11-03","1.548735e-10"
"2016-11-04","2.039114e-10"
"2016-11-07","1.673011e-10"
"2016-11-08","1.525237e-10"
"2016-11-09","1.975926e-10"
"2016-11-10","1.519662e-10"
"2016-11-11","1.275487e-10"
"2016-11-14","1.238587e-10"
"2016-11-15","1.370519e-10"
"2016-11-16","1.190529e-10"
"2016-11-17","1.336920e-10"
"2016-11-18","1.440006e-10"
"2016-11-21","2.114877e-10"
"2016-11-22","1.506857e-10"
"2016-11-23","1.178281e-10"
"2016-11-24","1.447185e-10"
"2016-11-25","1.859860e-10"
"2016-11-28","1.315936e-10"
"2016-11-29","1.274427e-10"
"2016-11-30","1.534846e-10"
"2016-12-01","1.321044e-10"
"2016-12-02","0.000000e+00"
"2016-12-05","2.185092e-10"
"2016-12-06","1.855682e-10"
"2016-12-07","1.660953e-10"
"2016-12-08","2.932164e-10"
"2016-12-09","1.492383e-10"
"2016-12-12","2.891522e-10"
"2016-12-13","2.396364e-10"
"2016-12-14","2.004360e-10"
"2016-12-15","1.921187e-10"
"2016-12-16","1.950810e-10"
"2016-12-19","1.770324e-10"
"2016-12-20","1.861502e-10"
"2016-12-21","1.628057e-10"
"2016-12-22","1.750377e-10"
"2016-12-23","2.160190e-10"
"2016-12-26","2.539507e-10"
"2016-12-27","1.817824e-10"
"2016-12-28","1.893052e-10"
"2016-12-29","1.887750e-10"
"2016-12-30","1.719594e-10"
"2017-01-03","1.606005e-10"
"2017-01-04","1.346068e-10"
"2017-01-05","1.302155e-10"
"2017-01-06","1.560791e-10"
"2017-01-09","1.476052e-10"
"2017-01-10","1.465221e-10"
"2017-01-11","2.167193e-10"
"2017-01-12","2.350578e-10"
"2017-01-13","2.598587e-10"
"2017-01-16","3.506042e-10"
"2017-01-17","2.906368e-10"
"2017-01-18","2.430262e-10"
"2017-01-19","2.465557e-10"
"2017-01-20","2.546172e-10"
"2017-01-23","2.098383e-10"
"2017-01-24","2.238576e-10"
"2017-01-25","2.283307e-10"
