Row,Var1,Var2,Var3,Var4,Var5,Var6
20180104,-0.00601958175838613,0.00218818468055293,-0.0147181724740215,-0.0182296714916608,0,0.00313479880537137
20180105,0.00376648279547709,0.00109229939860889,0.00164609090666867,0.00915637528598623,-0.00501254182354427,0.0077942717268189
20180108,-0.0258963443035793,0.00326975768155657,-0.00164609090666867,-0.0117879557520424,0.00750942202213145,0.0154086253528449
20180109,0.00921665510492353,0,0.00328947665039858,-0.00396040121609698,-0.0125472160520885,-0.00921665510492375
20180110,0.0293806443932203,0.017260406933,0.0114286958236229,0.0286851479988588,0.0175223506922024,0.0183491386681962
20180111,-0.00521028346540708,-0.00643779047484827,0.00808411839995893,0.0115017242390114,0.0147785940961187,0.0180185055026785
20180112,0.0111318403688441,0.00750673766375343,0.00642056780292277,0.00253807242847115,0,0.0191604977390756
20180115,0.0468554172815052,0.00426439878645768,0.0283930745012178,0.0225573474240743,0.0217662764819546,0.0173665724982988
20180116,0,0.00212539931231337,0.0245788102648878,0.0196325324071212,0.00952388151125549,0.0042949242828807
20180117,0.00211044749454592,0.0105597602150023,0.0195348060206424,0.0192545057901365,0.00472814119594589,-0.0129405112757346
20180118,0.0338547011989694,0.0135630665476207,0.0592230798911464,0.0679593618349932,0.0279087881170768,0.041111388242431
20180119,0.00542006746933898,0.0184810188081803,-0.00140350900232011,0.0121750258752793,0.00913248356327245,0
20180122,-0.0246250473053893,-0.0164106246938722,0.00699792918764452,-0.00330578813449955,0,-0.0111733005981252
20180123,0.0144382019983964,0.0325562831952593,0.0436631429175993,0.0795331535223838,0.0616935690053397,0.0358659131884966
20180124,-0.000682826929910618,0.00797611407000876,-0.012088797319004,-0.0143739641120688,0.00213447252863275,0.00270636159774318
20180125,-0.0305155439259508,-0.00897761640709804,-0.00677968698537912,-0.0135348240050077,-0.0128757143600453,-0.0191001713734196
20180126,-0.01061956882746,0.00798407434822046,0.00271739297650009,0.0093897403498393,0.00431035150112224,0.0150378773645405
20180129,-0.0223111089855519,-0.0120001440031108,0.00810815252842256,-0.0114883770067604,-0.0108109161042158,-0.0122868439926507
20180130,-0.00657176516323421,-0.0192997356587266,-0.0203949965210732,-0.0148150857851408,-0.0264332570681554,-0.0180185055026783
20180131,0.0288828741487861,0.0102041701742417,0.0271019297777912,0.0137641135391657,0.0133039656263627,0.00974259619881845
