Row,Var1,Var2,Var3,Var4,Var5,Var6
20180104,-0.00604796774002744,-0.0109605851995634,-0.0116550413882939,-0.0210506816369538,-0.00110997655934597,-0.0114768853498156
20180105,-0.0218486060581448,-0.012214555497454,-0.0177909441165547,-0.0191469581845218,-0.00686010107805638,-0.0118391616359454
20180108,-0.0221775967124084,-0.0120831203575219,-0.0112353209265738,-0.0140514752965468,-0.0101595765558601,-0.0132837729543575
20180109,-0.0301344265104044,-0.012467014740463,-0.0114441747726879,-0.0184928724831823,-0.00964689557413834,-0.0157262702064605
20180110,-0.0234079195563987,-0.0119002441798934,-0.0115862249937916,-0.01399947379247,-0.0145182020065478,-0.016338184301181
20180111,-0.022991796678953,-0.0149680290775576,-0.013905895219631,-0.019511129067378,-0.0125717341542018,-0.0169089276746289
20180112,-0.0238503279478178,-0.0133614436731844,-0.0129965059614847,-0.014426515064018,-0.0116930809036148,-0.0168636175839964
20180115,-0.0226181565673521,-0.0132937917886737,-0.0125061761026901,-0.0140481356317663,-0.00794618525894829,-0.0172048179787191
20180116,-0.0233009319880534,-0.0127084582652092,-0.0187522222216077,-0.0182455174922882,-0.0129473761171269,-0.0166947302008978
20180117,-0.0222813554487323,-0.0122941888380322,-0.0177814620458909,-0.0164489409353497,-0.0104314371519972,-0.012690576616426
20180118,-0.0221958659173563,-0.0137861319470735,-0.0163276621782417,-0.0168849788308504,-0.00898661206904936,-0.0180834237683291
20180119,-0.0229367368700218,-0.014402644307631,-0.0275992391587284,-0.0267092208328523,-0.0145740145396155,-0.0239637255312105
20180122,-0.0223613919362123,-0.0153171990237073,-0.0116280236452974,-0.0125076560820092,-0.0105015247582213,-0.0120880971741528
20180123,-0.0297660026730224,-0.0154416700408326,-0.0126453254270309,-0.0154396977410623,-0.00782390258667574,-0.0170592636422853
20180124,-0.023482689781974,-0.017896943087958,-0.0231018318357498,-0.0294862648476167,-0.0228141906281464,-0.0222783273347638
20180125,-0.022516514570705,-0.0136138909302277,-0.0167267750930382,-0.0151486764688512,-0.00961562264557843,-0.0127453648467445
20180126,-0.031606870407821,-0.0138161763477679,-0.0140347793069236,-0.0188990386365899,-0.0146925521281777,-0.0214570328886032
20180129,-0.0266668078684638,-0.0134030953354604,-0.011471094131972,-0.0141699712510686,-0.00932053090183953,-0.0163978908119389
20180130,-0.0296231436363601,-0.0144301770732748,-0.0129584898869559,-0.0183356086560169,-0.0135462064164456,-0.0180814969275413
