trade_date,yield_sum000001.SZ,yield_sum600015.SH,yield_sum601398.SH,yield_sum601939.SH,yield_sum601988.SH,yield_sum601998.SH
2018-01-02,1.0300751879699248,1.0122222222222221,0.996774193548387,1.0143229166666667,1.0025188916876573,1.0193548387096774
2018-01-03,1.0022556390977444,1.0144444444444445,0.9935483870967742,1.0091145833333335,1.0075566750629723,1.0274193548387096
2018-01-04,0.9962406015037594,1.0166666666666666,0.9790322580645161,0.9908854166666667,1.0075566750629723,1.0306451612903225
2018-01-05,1.0,1.017777777777778,0.9806451612903225,1.0,1.0025188916876573,1.038709677419355
2018-01-08,0.9744360902255639,1.021111111111111,0.9790322580645161,0.98828125,1.0100755667506296,1.0548387096774194
2018-01-09,0.9834586466165413,1.021111111111111,0.982258064516129,0.984375,0.9974811083123425,1.0451612903225806
2018-01-10,1.0127819548872181,1.0388888888888888,0.9935483870967742,1.0130208333333335,1.0151133501259446,1.064516129032258
2018-01-11,1.0075187969924813,1.0322222222222222,1.0016129032258063,1.0247395833333335,1.030226700251889,1.0838709677419354
2018-01-12,1.018796992481203,1.04,1.0080645161290323,1.02734375,1.030226700251889,1.1048387096774193
2018-01-15,1.0676691729323307,1.0444444444444445,1.0370967741935484,1.05078125,1.052896725440806,1.1241935483870966
2018-01-16,1.0676691729323307,1.0466666666666666,1.0629032258064515,1.0716145833333335,1.0629722921914357,1.129032258064516
2018-01-17,1.069924812030075,1.0577777777777777,1.0838709677419354,1.0924479166666667,1.0680100755667505,1.114516129032258
2018-01-18,1.106766917293233,1.0722222222222222,1.15,1.1692708333333335,1.0982367758186398,1.1612903225806452
2018-01-19,1.112781954887218,1.0922222222222222,1.1483870967741936,1.18359375,1.1083123425692696,1.1612903225806452
2018-01-22,1.0857142857142856,1.0744444444444445,1.1564516129032258,1.1796875,1.1083123425692696,1.1483870967741936
2018-01-23,1.1015037593984962,1.11,1.2080645161290322,1.2773437500000002,1.1788413098236774,1.1903225806451612
2018-01-24,1.1007518796992481,1.1188888888888888,1.1935483870967742,1.2591145833333335,1.1813602015113351,1.1935483870967742
2018-01-25,1.0676691729323307,1.108888888888889,1.1854838709677418,1.2421875,1.1662468513853903,1.1709677419354838
2018-01-26,1.056390977443609,1.1177777777777778,1.1887096774193548,1.2539062500000002,1.1712846347607053,1.1887096774193548
2018-01-29,1.0330827067669173,1.1044444444444443,1.1983870967741934,1.2395833333333333,1.158690176322418,1.1741935483870969
2018-01-30,1.0263157894736843,1.0833333333333333,1.1741935483870969,1.2213541666666667,1.128463476070529,1.153225806451613
2018-01-31,1.056390977443609,1.0944444444444443,1.206451612903226,1.23828125,1.1435768261964736,1.164516129032258
2018-02-01,1.0548872180451128,1.11,1.2387096774193547,1.2539062500000002,1.1662468513853903,1.1903225806451612
2018-02-02,1.056390977443609,1.097777777777778,1.225806451612903,1.2434895833333335,1.1536523929471032,1.196774193548387
2018-02-05,1.093984962406015,1.1555555555555557,1.25,1.2747395833333333,1.1989924433249368,1.3129032258064517
2018-02-06,1.0526315789473684,1.1244444444444444,1.2209677419354839,1.2239583333333335,1.1989924433249368,1.2919354838709676
2018-02-07,0.9714285714285714,1.1111111111111112,1.15,1.1510416666666667,1.1561712846347607,1.25
2018-02-08,0.9428571428571427,1.0733333333333333,1.1,1.10546875,1.1133501259445844,1.1693548387096775
2018-02-09,0.8789473684210526,1.0244444444444445,1.0774193548387097,1.0885416666666667,1.0806045340050376,1.1129032258064517
2018-02-12,0.881203007518797,1.018888888888889,1.0661290322580645,1.0794270833333333,1.0604534005037782,1.082258064516129
2018-02-13,0.8977443609022555,1.0322222222222222,1.096774193548387,1.0963541666666667,1.0780856423173804,1.0983870967741935
2018-02-14,0.9022556390977443,1.0322222222222222,1.1096774193548387,1.1041666666666667,1.0780856423173804,1.0870967741935484
2018-02-22,0.9368421052631579,1.0488888888888888,1.129032258064516,1.1432291666666665,1.1007556675062973,1.146774193548387
2018-02-23,0.9481203007518796,1.0633333333333335,1.1306451612903226,1.1458333333333335,1.1057934508816119,1.1516129032258065
2018-02-26,0.9496240601503759,1.0599999999999998,1.1322580645161289,1.1393229166666667,1.1083123425692696,1.1516129032258065
2018-02-27,0.9233082706766916,1.0444444444444445,1.0951612903225807,1.0963541666666667,1.0881612090680102,1.1338709677419354
2018-02-28,0.9060150375939849,1.0333333333333334,1.0758064516129031,1.08203125,1.0654911838790933,1.103225806451613
2018-03-01,0.9052631578947368,1.0344444444444445,1.0790322580645162,1.0729166666666667,1.0629722921914357,1.1
2018-03-02,0.8984962406015037,1.0355555555555556,1.0774193548387097,1.0690104166666667,1.0503778337531486,1.0838709677419354
2018-03-05,0.8917293233082706,1.0333333333333334,1.0677419354838709,1.0585937500000002,1.0478589420654911,1.0774193548387097
2018-03-06,0.9097744360902255,1.04,1.0564516129032258,1.0559895833333333,1.0554156171284634,1.085483870967742
2018-03-07,0.9060150375939849,1.0366666666666666,1.0693548387096774,1.0755208333333333,1.0629722921914357,1.0887096774193548
2018-03-08,0.9105263157894736,1.0388888888888888,1.0564516129032258,1.0651041666666667,1.057934508816121,1.0838709677419354
2018-03-09,0.9090225563909774,1.0388888888888888,1.0564516129032258,1.07421875,1.052896725440806,1.0838709677419354
2018-03-12,0.9045112781954886,1.04,1.0451612903225806,1.0611979166666667,1.0503778337531486,1.0838709677419354
2018-03-13,0.9037593984962405,1.0355555555555556,1.0483870967741935,1.0651041666666667,1.0554156171284634,1.0838709677419354
2018-03-14,0.8962406015037594,1.0322222222222222,1.038709677419355,1.05078125,1.0503778337531486,1.0741935483870968
