trade_date,yield_rate_000001.SZ,yield_rate_601939.SH,yield_rate_601988.SH,amihud_000001.SZ,amihud_601939.SH,amihud_601988.SH
2018-01-02,0.030075187969924814,0.01432291666666667,0.0025188916876574307,1.620166027475919e-05,2.6890333676493783e-05,1.8206283305598536e-05
2018-01-03,-0.027007299270072997,-0.005134788189987164,0.005025125628140704,1.2178600985623278e-05,2.8705777183682282e-05,2.108252685543767e-05
2018-01-04,-0.0060015003750937745,-0.01806451612903226,0.0,7.3796625242421894e-06,1.9889646859389185e-05,1.6777846271918315e-05
2018-01-05,0.0037735849056603774,0.009198423127463865,-0.005,9.414785079321946e-06,2.299823393943811e-05,1.4120863525182675e-05
2018-01-08,-0.02556390977443609,-0.01171875,0.007537688442211055,1.198899767687961e-05,2.7927689883169548e-05,1.1047447425283065e-05
2018-01-09,0.009259259259259259,-0.003952569169960474,-0.012468827930174564,1.222147764709252e-05,1.6363857049107213e-05,1.8804599733350616e-05
2018-01-10,0.029816513761467888,0.029100529100529106,0.01767676767676768,1.3507952977532554e-05,2.919876671484884e-05,1.4369862013214285e-05
2018-01-11,-0.005196733481811433,0.011568123393316195,0.014888337468982629,1.2298554835865821e-05,3.1989612784692666e-05,1.728604392398964e-05
2018-01-12,0.011194029850746268,0.0025412960609911056,0.0,1.127948231474063e-05,1.7019564141879683e-05,1.5643391008005317e-05
2018-01-15,0.04797047970479705,0.02281368821292776,0.022004889975550126,1.363252216701615e-05,2.327754589225787e-05,1.604471216699148e-05
2018-01-16,0.0,0.01982651796778191,0.009569377990430623,7.2872032818307265e-06,2.3390273322485506e-05,1.5299667669938434e-05
2018-01-17,0.0021126760563380284,0.019441069258809236,0.0047393364928909965,1.0751325608364638e-05,2.2813743196140514e-05,1.7387633039467066e-05
2018-01-18,0.03443429374560787,0.0703218116805721,0.028301886792452824,1.084928100190604e-05,3.5684722750978165e-05,1.0232506744599703e-05
2018-01-19,0.005434782608695652,0.012249443207126948,0.009174311926605505,7.877544387326617e-06,1.5795479704482287e-05,1.1833251817407616e-05
2018-01-22,-0.02432432432432432,-0.0033003300330033004,0.0,1.1452393026120155e-05,1.9580025375632817e-05,1.7016309988855702e-05
2018-01-23,0.014542936288088644,0.08278145695364238,0.06363636363636364,1.1168617169060083e-05,2.8669217061476746e-05,2.2720667327603115e-05
2018-01-24,-0.0006825938566552901,-0.014271151885830785,0.002136752136752137,1.0217093378473538e-05,1.1631408584971742e-05,1.4128355741723801e-05
2018-01-25,-0.030054644808743168,-0.01344364012409514,-0.012793176972281448,1.3300369475854386e-05,1.5932754754805993e-05,2.2317523225120582e-05
2018-01-26,-0.01056338028169014,0.009433962264150943,0.0043196544276457895,7.822230554077678e-06,1.3059067197073752e-05,1.8267612824847695e-05
2018-01-29,-0.022064056939501774,-0.011422637590861888,-0.01075268817204301,1.6035679945698457e-05,1.528713182757511e-05,2.180286834005228e-05
2018-01-30,-0.006550218340611353,-0.014705882352941178,-0.02608695652173913,1.4139198384753601e-05,1.6373404368652136e-05,2.4580310282471552e-05
2018-01-31,0.029304029304029307,0.013859275053304905,0.01339285714285714,1.5563897240708214e-05,1.3688326713536555e-05,1.767456487341825e-05
2018-02-01,-0.0014234875444839856,0.012618296529968454,0.019823788546255505,1.1588027011514375e-05,1.2037202969135199e-05,1.5026546017182373e-05
