trade_date,yield_rate_000001.SZ,yield_rate_600000.SH,yield_rate_600015.SH,yield_rate_600016.SH,yield_rate_600036.SH,yield_rate_601166.SH,yield_rate_601288.SH,yield_rate_601328.SH,yield_rate_601398.SH,yield_rate_601818.SH,yield_rate_601939.SH,yield_rate_601988.SH,yield_rate_601998.SH,amihud_000001.SZ,amihud_600000.SH,amihud_600015.SH,amihud_600016.SH,amihud_600036.SH,amihud_601166.SH,amihud_601288.SH,amihud_601328.SH,amihud_601398.SH,amihud_601818.SH,amihud_601939.SH,amihud_601988.SH,amihud_601998.SH
2018-01-02,0.03007518796992481,0.010325655281969819,0.012222222222222223,0.015494636471990465,0.02067539627842867,0.014714537963507947,0.005221932114882507,0.011272141706924317,-0.0032258064516129032,0.007407407407407408,0.014322916666666668,0.0025188916876574307,0.019354838709677417,1.6201660274759187e-05,3.561286755147088e-05,5.8385704415067384e-05,3.263154375734852e-05,1.752491807262639e-05,1.0429499450131351e-05,1.4351147901964453e-05,2.8721570651185588e-05,1.334836255077315e-05,3.6489446760350004e-05,2.6890333676493786e-05,1.8206283305598536e-05,9.806778972028553e-05
2018-01-03,-0.027007299270072994,-0.0047169811320754715,0.0021953896816684962,0.007042253521126761,0.011816340310600944,-0.0023201856148491883,0.007792207792207791,0.003184713375796178,-0.003236245954692557,0.007352941176470588,-0.0051347881899871635,0.005025125628140704,0.007911392405063292,1.2178600985623278e-05,2.2866502223791056e-05,5.55490402298115e-05,1.8874475359411653e-05,1.3241545896589814e-05,6.364280350905756e-06,1.522876534460117e-05,2.7679286943596685e-05,1.4801115409387043e-05,2.4309275023494593e-05,2.8705777183682282e-05,2.108252685543767e-05,6.797073062815695e-05
2018-01-04,-0.006001500375093774,0.0,0.002190580503833516,-0.004662004662004662,-0.010677344010677344,-0.0005813953488372093,-0.002577319587628866,-0.0015873015873015873,-0.01461038961038961,-0.0024330900243309003,-0.01806451612903226,0.0,0.0031397174254317113,7.379662524242189e-06,2.457081543552587e-05,5.8601449090349046e-05,1.1855285157375446e-05,2.0852689484640395e-05,8.861006230644763e-06,1.2656412660939123e-05,2.0690136796123454e-05,7.368061667113512e-06,2.5745781131880104e-05,1.9889646859389185e-05,1.6777846271918315e-05,8.163595175319795e-05
2018-01-05,0.0037735849056603774,0.0023696682464454974,0.001092896174863388,0.007025761124121781,0.015177065767284992,0.0005817335660267597,0.0,-0.001589825119236884,0.0016474464579901153,0.004878048780487806,0.009198423127463863,-0.005,0.00782472613458529,9.414785079321946e-06,1.8079325617247833e-05,2.4104057814694775e-05,1.409957219149758e-05,1.8431546622891343e-05,5.7114936276095395e-06,1.3577546402910812e-05,1.6440964542517964e-05,4.791038217520975e-06,2.8350051079490804e-05,2.2998233939438112e-05,1.4120863525182677e-05,7.528978477289454e-05
2018-01-08,-0.02556390977443609,-0.0007880220646178094,0.0032751091703056767,0.013953488372093023,-0.020930232558139535,0.0011627906976744186,-0.002583979328165375,0.004777070063694267,-0.001644736842105263,0.0024271844660194173,-0.01171875,0.007537688442211055,0.015527950310559006,1.198899767687961e-05,1.5870987783910672e-05,6.01728034444268e-05,2.428649786250961e-05,1.3684506887215495e-05,6.781162273828808e-06,1.4379121671937134e-05,1.3877666946556963e-05,7.459441089549202e-06,2.189891321582107e-05,2.792768988316955e-05,1.1047447425283063e-05,4.602483438261877e-05
2018-01-09,0.009259259259259259,0.001577287066246057,0.0,-0.004587155963302752,0.01017984390906006,-0.0023228803716608595,-0.007772020725388601,-0.004754358161648178,0.0032948929159802307,-0.007263922518159807,-0.003952569169960474,-0.012468827930174564,-0.009174311926605503,1.222147764709252e-05,1.8925236522026237e-05,7.585455848111092e-05,2.3583499655788716e-05,1.602278431083239e-05,5.316104344268664e-06,1.6013759786693664e-05,2.21882901909697e-05,1.1331247193483326e-05,2.8702912038638664e-05,1.6363857049107213e-05,1.8804599733350616e-05,5.33538983257085e-05
2018-01-10,0.02981651376146789,0.02519685039370079,0.017410228509249184,0.01612903225806452,0.025529056096741685,0.05820721769499418,0.020887728459530026,0.006369426751592356,0.01149425287356322,0.007317073170731708,0.029100529100529102,0.01767676767676768,0.018518518518518517,1.3507952977532554e-05,2.71014959522465e-05,4.752163113232483e-05,2.0468390198994126e-05,1.624243868822548e-05,8.86112055832151e-06,1.7489657604495117e-05,1.286908895245053e-05,1.3886319811756818e-05,8.877013325950667e-06,2.919876671484884e-05,1.4369862013214284e-05,5.404204356152592e-05
2018-01-11,-0.005196733481811433,-0.006144393241167435,-0.006417112299465241,-0.0022675736961451248,0.012774320340648543,-0.00825082508250825,0.020460358056265983,0.004746835443037974,0.008116883116883118,0.004842615012106538,0.011568123393316195,0.014888337468982629,0.01818181818181818,1.2298554835865821e-05,2.680317043473128e-05,4.331776550583234e-05,2.493879370456986e-05,1.4604596430585463e-05,6.646772823583635e-06,1.593627395899317e-05,1.3450982056387772e-05,1.323408062086032e-05,1.442950736445374e-05,3.198961278469267e-05,1.728604392398964e-05,6.111050115950165e-05
2018-01-12,0.011194029850746268,-0.00231839258114374,0.007534983853606029,0.0,0.019081500646830528,-0.005546311702717693,0.005012531328320802,0.003149606299212599,0.00644122383252818,0.0024096385542168672,0.0025412960609911056,0.0,0.019345238095238096,1.127948231474063e-05,2.4654131904112868e-05,4.1325806292609076e-05,2.2432209213831028e-05,1.382151479725689e-05,6.030933319343323e-06,8.973111671979039e-06,1.0020532902600132e-05,1.1696619091525914e-05,2.0666567449577803e-05,1.701956414187968e-05,1.5643391008005314e-05,6.751423308606818e-05
2018-01-15,0.04797047970479705,0.008520526723470178,0.004273504273504274,0.007954545454545455,0.013646461440812439,0.003904071388733966,0.027431421446384042,0.01726844583987441,0.0288,0.01201923076923077,0.022813688212927757,0.022004889975550123,0.017518248175182483,1.363252216701615e-05,2.2263020353473095e-05,3.84606937583541e-05,1.9205516736586286e-05,1.6075137087702065e-05,6.413887980421837e-06,1.7294435491758348e-05,1.2718211961072957e-05,1.1130208527798856e-05,1.4280058050542438e-05,2.327754589225787e-05,1.604471216699148e-05,5.859174363976111e-05
